tweet_id,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
803276597545603072,10793,2736,7438057,10,Twitter for iPhone,Original tweet,https://t.co/jxQhxoPsgL
802952499103731712,9723,2223,7438057,10,Twitter for iPhone,Original tweet,https://t.co/yLm7hQ6UXh
802624713319034886,0,3246,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
802323869084381190,17508,6467,7438057,10,Twitter for iPhone,Original tweet,https://t.co/8Cbu9eKkfG
802265048156610565,7111,1508,7438057,10,Twitter for iPhone,Original tweet,https://t.co/9IxWAXFqze
802239329049477120,9786,2881,7438057,10,Twitter for iPhone,Original tweet,https://t.co/wG8NYg87Hw
802185808107208704,0,295,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
801958328846974976,8320,1889,7438057,10,Twitter for iPhone,Original tweet,https://t.co/4fY2bsAm65
801285448605831168,6532,921,7438057,10,Twitter for iPhone,Original tweet,https://t.co/bC69RrW559
801167903437357056,26404,6574,7438057,10,Twitter for iPhone,Original tweet,https://t.co/R6wJyC2Tey
801127390143516673,0,4398,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
801115127852503040,8714,2314,7438057,10,Twitter for iPhone,Original tweet,https://t.co/A1hx5HKfQ6
800859414831898624,744,107,7438057,10,Twitter for iPhone,Original tweet,s
800855607700029440,0,1805,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
800513324630806528,14153,3329,7438057,10,Twitter for iPhone,Original tweet,https://t.co/ILHGs0e6Dm
800459316964663297,10190,2395,7438057,10,Twitter for iPhone,Original tweet,https://t.co/61sX7pW5Ca
800443802682937345,0,4776,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
800188575492947969,0,4364,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
800141422401830912,16497,2838,7438057,10,Twitter for iPhone,Original tweet,https://t.co/pbKOesr8Tg
800018252395122689,30604,14596,7438057,10,Twitter for iPhone,Original tweet,https://t.co/gQqRBfkX4I
799774291445383169,0,5189,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
799757965289017345,9067,2396,7438057,10,Twitter for iPhone,Original tweet,https://t.co/OiH8PaOxB1
799422933579902976,8672,2118,7438057,10,Twitter for iPhone,Original tweet,https://t.co/cWlAEOZefY
799063482566066176,8735,2727,7438057,10,Twitter for iPhone,Original tweet,https://t.co/BXJFKOVnJm
798933969379225600,14201,4959,7438057,10,Twitter for iPhone,Original tweet,https://t.co/KJAKO2kXsL
798925684722855936,8018,1591,7438057,10,Twitter for iPhone,Original tweet,https://t.co/XzX91DfYVV
798705661114773508,0,7315,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798701998996647937,0,8643,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798686750113755136,0,2576,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798682547630837760,0,5230,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798673117451325440,0,6144,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798665375516884993,0,4309,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798585098161549313,0,6324,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798576900688019456,0,6495,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798340744599797760,0,3728,7438057,10,Twitter for iPhone,This is a retweet,This is a retweet
798209839306514432,11197,2832,7438057,10,Twitter for iPhone,Original tweet,https://t.co/jG1PAFkB81
797971864723324932,12567,3474,7438057,10,Twitter for iPhone,Original tweet,https://t.co/GRWPgNKt2z
